Ensembl.Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Associated.Gene.Name
ENSMUSG00000023044,7973.517799,2.369456766,0.165555397,14.31216863,1.84E-46,2.21E-42,Csad
ENSMUSG00000023057,2988.483438,-1.055221472,0.076021641,-13.88054061,8.31E-44,5.00E-40,Fabp2
ENSMUSG00000052133,210.896046,-1.292058003,0.107405805,-12.02968498,2.48E-33,9.95E-30,Sema5b
ENSMUSG00000079563,3745.188172,0.83843912,0.074427739,11.26514302,1.95E-29,5.87E-26,Pglyrp2
ENSMUSG00000068083,894.6229408,-1.31977797,0.119873413,-11.00976383,3.43E-28,8.25E-25,Cyp2d40
ENSMUSG00000050445,18741.45863,1.237627316,0.112935739,10.95868614,6.04E-28,1.21E-24,Cyp8b1
ENSMUSG00000022445,22076.33928,-0.589409488,0.056336566,-10.46228997,1.29E-25,2.21E-22,Cyp2d26
ENSMUSG00000033720,1000.543493,-0.475904402,0.045705898,-10.41231925,2.18E-25,3.28E-22,Sfxn5
ENSMUSG00000028194,3537.155211,-0.683500882,0.074989158,-9.114662703,7.89E-20,1.05E-16,Ddah1
ENSMUSG00000020538,8803.927647,-1.004065387,0.111572248,-8.999239528,2.27E-19,2.49E-16,Srebf1
ENSMUSG00000067219,157.326626,2.658580819,0.29522242,9.005348628,2.15E-19,2.49E-16,Nipal1
ENSMUSG00000037583,382.6288645,-1.897863815,0.214796487,-8.83563712,9.95E-19,9.98E-16,Nr0b2
ENSMUSG00000015966,214.5087489,0.742779858,0.087490184,8.489865093,2.07E-17,1.91E-14,Il17rb
ENSMUSG00000006800,1449.304186,-0.6983711,0.087346458,-7.995414044,1.29E-15,1.11E-12,Sulf2
ENSMUSG00000061731,1253.112519,-0.302693577,0.039125585,-7.736461282,1.02E-14,8.20E-12,Ext1
ENSMUSG00000029630,8054.898739,-0.451097284,0.059308177,-7.605987969,2.83E-14,2.13E-11,Cyp3a25
ENSMUSG00000033629,4261.788454,0.372822314,0.04956995,7.52113556,5.43E-14,3.84E-11,Hacd3
ENSMUSG00000021477,14003.9738,0.508361885,0.067702476,7.508763614,5.97E-14,3.99E-11,Ctsl
ENSMUSG00000061292,327.3944683,-0.810333717,0.109008265,-7.433690632,1.06E-13,6.69E-11,Cyp3a59
ENSMUSG00000024029,77.65123273,3.78694797,0.513453791,7.375440661,1.64E-13,9.85E-11,Tff3
ENSMUSG00000026614,336.8434823,-1.00883358,0.137024318,-7.3624419,1.81E-13,1.03E-10,Slc30a10
ENSMUSG00000038522,1053.703113,-0.519696589,0.070753894,-7.345130589,2.06E-13,1.12E-10,AI317395
ENSMUSG00000065954,1159.157766,-0.47956356,0.065883483,-7.278964907,3.36E-13,1.76E-10,Tacc1
ENSMUSG00000032348,658.0206176,-1.083692226,0.149026458,-7.271810923,3.55E-13,1.78E-10,Gsta4
ENSMUSG00000040505,3592.330886,-1.30084161,0.179329505,-7.253918474,4.05E-13,1.95E-10,Abcg5
ENSMUSG00000025396,1176.168102,-1.636176204,0.227054317,-7.20610039,5.76E-13,2.66E-10,Hsd17b6
ENSMUSG00000031938,6994.887745,-0.281251267,0.039168482,-7.180550579,6.94E-13,3.09E-10,4931406C07Rik
ENSMUSG00000046402,324.7118789,1.084921608,0.151395821,7.166126511,7.71E-13,3.31E-10,Rbp1
ENSMUSG00000068101,45.77368087,1.438434605,0.201755928,7.129577912,1.01E-12,4.18E-10,Cenpm
ENSMUSG00000006777,92.23180783,-2.064337967,0.292204279,-7.064708196,1.61E-12,6.45E-10,Krt23
ENSMUSG00000049115,1600.960043,0.412496946,0.058434207,7.059169093,1.68E-12,6.50E-10,Agtr1a
ENSMUSG00000043068,75.19345667,1.060321989,0.150687093,7.036581361,1.97E-12,7.41E-10,Fam89a
ENSMUSG00000006014,1612.202847,-0.872271045,0.124542613,-7.003795949,2.49E-12,9.08E-10,Prg4
ENSMUSG00000038121,1358.297818,-0.49109366,0.071691367,-6.85010874,7.38E-12,2.61E-09,Fam210a
ENSMUSG00000031278,867.3487248,0.698368293,0.102568434,6.808803316,9.84E-12,3.38E-09,Acsl4
ENSMUSG00000109141,43.74047731,1.153595428,0.170668038,6.759293908,1.39E-11,4.63E-09,RP23-310J6.2
ENSMUSG00000024427,301.2668811,-1.814443005,0.270163428,-6.71609409,1.87E-11,6.07E-09,Spry4
ENSMUSG00000044345,1713.626074,-0.342478926,0.051416941,-6.660818826,2.72E-11,8.62E-09,Marveld1
