#1.2																								
12618	23																							
NAME	description	Control_12	Control_13	Control_16	Control_20	Control_25	Control_7	Control_35	Control_38	Cyp7a1_2	Cyp7a1_5	Cyp7a1_17	Cyp7a1_19	Cyp7a1_24	Cyp7a1_26	Cyp7a1_28	Cyp8b1_3	Cyp8b1_4	Cyp8b1_6	Cyp8b1_10	Cyp8b1_18	Cyp8b1_27	Cyp8b1_30	Cyp8b1_34
Gnai3	NA	1065.563548	1264.317409	1268.432272	1391.230095	1433.172567	1226.605688	1309.215371	932.1960973	1466.393644	1328.09739	1145.16467	1201.748392	1453.321599	1313.162975	1436.331155	1365.863838	1490.722546	1609.078044	1195.752034	1278.825182	1457.925894	1387.431678	1079.025748
Cdc45	NA	36.10425941	33.72797967	33.94396222	37.65735595	35.37449919	25.36214769	31.82120694	43.00080844	31.46017353	15.70680225	29.12317055	27.26289455	29.99975779	31.80134789	32.60383602	47.18009801	44.80313662	41.42363385	33.47762334	17.19428816	39.20294919	38.38743772	27.16580434
H19	NA	35.12846861	64.56498966	8.039359472	4.184150662	0	169.8495345	11.81930544	9.214458952	76.02875269	51.48340737	33.28362348	42.5301155	147.4988091	65.92962368	30.84146651	47.18009801	5.091265525	7.364201573	30.90242154	37.61250536	21.19078335	30.70995018	11.95295391
Apoh	NA	36210.62061	34868.94904	41388.40909	44729.61661	45791.78385	34514.80881	38034.52489	43059.16668	42204.69668	41660.54776	45603.76474	44725.32377	35729.71152	38319.07293	46760.06915	42605.98751	44058.7936	41128.14526	43193.85971	41173.87229	41717.23564	45085.49721	43167.54973
Narf	NA	1110.449925	876.9274715	1124.617064	1488.511598	1488.761066	1148.982145	898.2672132	1016.661971	1116.83616	1091.622756	999.5488177	946.5676988	1229.156743	1003.681565	1062.708817	1155.912401	1369.550426	1361.456766	1339.104934	958.5815651	1561.760733	1208.655896	1207.248345
Cav2	NA	50.74112133	69.38327247	54.48899198	44.97961961	63.67409854	75.31789315	61.82405921	47.60803792	66.41592189	55.84640799	59.28645433	68.70249427	78.33270088	72.13476473	56.39582447	47.18009801	59.05868009	42.34415905	47.21203291	55.88143653	50.85788003	58.12954855	56.50487303
Klf6	NA	269.3182594	370.0441198	207.2368219	205.0233824	247.6214943	385.8120649	230.0218673	247.2546486	405.486681	280.1046401	303.7130643	317.3400926	592.4952163	386.2700305	334.8502078	323.1836714	234.1982142	248.5418031	235.201764	314.870402	304.087741	332.3255323	191.2472626
Scmh1	NA	360.0668033	348.8436755	336.7598357	313.8112996	306.242093	343.5418187	345.4873897	367.0426149	286.6371366	296.6840425	370.2803112	315.159061	299.9975779	276.1287768	329.5630993	320.8246665	281.037857	283.5217606	333.9178328	318.094331	294.5518885	295.0348785	300.9971121
Cox5a	NA	2036.475389	2038.133629	1899.968622	2201.909286	2105.288052	2048.954114	2220.211067	1827.534359	2300.088242	2301.91913	2186.318017	2151.587638	2309.148023	2287.37012	2316.634727	2219.823612	2023.26892	2332.610848	1937.410151	2151.435306	2165.698058	2558.79692	1914.64589
Tbx2	NA	142.465456	120.4570703	112.5510326	74.26867424	102.0806977	151.4043362	119.1022317	127.4666822	87.38937091	105.5846151	114.4124557	128.6808623	119.9990311	140.3913163	103.9798014	84.92417643	122.1903726	99.41672124	96.14086702	130.0318042	120.7874651	104.1944738	142.3488148
Ngfr	NA	140.5138745	187.9130296	150.9613056	128.6626328	132.401697	233.6391787	187.2905323	127.4666822	156.4269739	183.2460262	97.77064398	86.15074678	160.8320348	179.1734479	107.5045404	195.7974068	177.1760403	152.8071826	162.2377131	148.3007354	148.3354834	116.2590971	109.7498495
Wnt9a	NA	23.41897908	29.87335343	20.54502976	16.73660265	16.17119963	23.82504783	20.91107885	35.32209265	29.71238611	17.4520025	10.40113234	15.26722095	19.16651192	15.51285263	8.811847574	18.87203921	18.32855589	28.5362811	27.46881915	26.86607525	18.01216584	16.45175902	30.42570086
Fer	NA	133.6833389	135.8755753	127.7364894	133.8928212	136.4444969	119.8937891	115.4655223	129.0024253	103.1194577	113.4380162	158.0972115	158.1247884	202.498365	137.2887458	134.8212679	110.8732303	139.5006754	120.5888008	140.7776981	127.8825182	154.6927184	117.355881	119.5295391
Xpo6	NA	1385.622929	1323.10046	1286.297516	1203.989353	1270.449871	1346.499478	1222.843524	1419.026679	1291.614902	1326.35219	1409.353432	1298.804296	1292.489565	1362.804104	1333.232538	1342.273789	1363.440908	1258.357944	1224.937654	1187.480526	1304.292715	1295.301827	1323.517988
Tfe3	NA	575.716569	610.9582604	584.193455	621.3463733	659.9870849	564.8841986	580.0551437	617.3687498	600.3649781	539.2668772	574.1425051	547.4389226	665.8279575	583.2832589	586.8690484	620.4182889	594.6598133	632.4008101	606.8892231	530.873647	555.1985237	531.9402084	641.1129825
Axin2	NA	314.2046359	356.552928	385.8892547	364.0211076	323.4239926	239.0190283	403.6747395	336.3277518	316.3495227	267.8882383	250.6672894	251.9091457	244.9980219	256.737711	308.4146651	320.8246665	243.3624921	228.2902488	199.1489388	222.4511031	222.5032251	282.9702552	272.7446756
Brat1	NA	250.7782343	263.0782415	297.4563005	306.489036	269.8568938	289.7433236	283.6633305	271.8265391	277.0243058	308.9004442	256.9079688	244.2755352	260.8312274	281.5582752	286.3850461	264.2085489	311.5854501	300.0912141	299.5818088	241.7946773	257.4680177	254.4538729	273.8313078
Gna12	NA	5156.07856	4758.536104	5206.825151	4202.97934	5133.345182	4858.772658	4298.59047	5110.953232	4198.185378	5012.215118	4246.782334	4363.153644	4217.465949	4411.079646	4193.55826	4753.394875	4617.777831	4482.957708	5539.259061	3811.758757	3340.726995	3594.160955	4933.310068
