feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__GGB28892.s__GGB28892_SGB41573	Group	Cyp7a1 CRISPR	9.82058847485707	2.16181547822885	19	9	0.000288184505880201	0.0256484210233379
k__Bacteria.p__Firmicutes.c__CFGB1227.o__OFGB1227.f__FGB1227.g__GGB75036.s__GGB75036_SGB102224	Group	Cyp7a1 CRISPR	2.97430069206552	0.636549102542235	19	13	0.000218585166776772	0.0256484210233379
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia.s__Adlercreutzia_equolifaciens	Group	Cyp7a1 CRISPR	6.41864086849926	1.52335973348426	19	9	0.000584380254338852	0.0307579092277171
k__Bacteria.p__Firmicutes.c__CFGB9506.o__OFGB9506.f__FGB9506.g__GGB28394.s__GGB28394_SGB40975	Group	Cyp7a1 CRISPR	2.1337785649236	0.515936222751945	19	7	0.000691188971409373	0.0307579092277171
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Rhodocyclaceae.g__GGB31173.s__GGB31173_SGB44464	Group	Cyp7a1 CRISPR	-3.92620340346921	1.01289139665511	19	13	0.00121264085285501	0.0431700143616384
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudolongum	Group	Cyp7a1 CRISPR	2.66662218860692	0.808404478687064	19	15	0.00424268388118162	0.0473554058172165
k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__Bacteria_unclassified_SGB63107	Group	Cyp7a1 CRISPR	3.10360778773771	0.877824839967239	19	7	0.00254035789579414	0.0473554058172165
k__Bacteria.p__Bacteria_unclassified.c__CFGB76064.o__OFGB76064.f__FGB76064.g__GGB20145.s__GGB20145_SGB41586	Group	Cyp7a1 CRISPR	-4.2894427319881	1.24314986330866	19	13	0.00305503731360239	0.0473554058172165
k__Bacteria.p__Bacteria_unclassified.c__CFGB9644.o__OFGB9644.f__FGB9644.g__GGB79804.s__GGB79804_SGB41650	Group	Cyp7a1 CRISPR	4.28869346836891	1.29204416187066	19	17	0.00405735004079026	0.0473554058172165
k__Bacteria.p__Firmicutes.c__CFGB73217.o__OFGB73217.f__FGB73217.g__GGB28956.s__GGB28956_SGB41665	Group	Cyp7a1 CRISPR	-1.51414972088754	0.427026388602426	19	19	0.00248459077483454	0.0473554058172165
