"","#SampleID","Experiment","MouseNumber","Group","shannon","simpson","invsimpson","observed_species"
"1","ETV364_1","ETV364",1,"Control CRISPR",3.35138548954162,0.93968282408701,16.5790255406277,104
"2","ETV364_12","ETV364",12,"Cyp7a1 CRISPR",3.01757410743446,0.90091639640939,10.0924871902294,117
"3","ETV364_15","ETV364",15,"Control CRISPR",3.25323927862591,0.932290877114352,14.7690585460524,102
"4","ETV364_16","ETV364",16,"Cyp7a1 CRISPR",3.08572173267257,0.898460554501971,9.84838941255994,105
"5","ETV364_17","ETV364",17,"Control CRISPR",3.19130967041477,0.936770153361244,15.8153159173893,88
"6","ETV364_20","ETV364",20,"Cyp7a1 CRISPR",3.00579186470002,0.913951870129094,11.6214030624519,100
"7","ETV364_21","ETV364",21,"Control CRISPR",3.02124320301205,0.899795308731201,9.97957268604819,96
"8","ETV364_29","ETV364",29,"Control CRISPR",3.24594971685016,0.9292179827382,14.1278821752327,112
"9","ETV364_3","ETV364",3,"Control CRISPR",3.03407586063967,0.909509364703383,11.0508672717582,106
"10","ETV364_30","ETV364",30,"Cyp7a1 CRISPR",3.25820375115556,0.930129833885968,14.3122602337591,123
"11","ETV364_32","ETV364",32,"Cyp7a1 CRISPR",3.36359948699556,0.940551489135356,16.8212792121381,126
"12","ETV364_33","ETV364",33,"Control CRISPR",3.13213737957506,0.931064488962853,14.5063115505322,98
"13","ETV364_35","ETV364",35,"Control CRISPR",3.5754658724249,0.9538738588756,21.6796804506808,123
"14","ETV364_36","ETV364",36,"Control CRISPR",3.08142434513201,0.922401573290958,12.8868592110705,103
"15","ETV364_37","ETV364",37,"Cyp7a1 CRISPR",3.22336399668806,0.926678413290329,13.6385482758259,104
"16","ETV364_38","ETV364",38,"Cyp7a1 CRISPR",3.2636836057084,0.938747998548027,16.3259971314421,105
"17","ETV364_50","ETV364",50,"Cyp7a1 CRISPR",3.32723786380195,0.939439553751002,16.512427862378,112
"18","ETV364_7","ETV364",7,"Cyp7a1 CRISPR",3.06739269620332,0.895093976942532,9.53234114548597,110
"19","ETV364_8","ETV364",8,"Control CRISPR",3.07052614307113,0.91879659932743,12.3147551915002,97
