"","k__Archaea|p__Euryarchaeota","k__Bacteria|p__Actinobacteria","k__Bacteria|p__Bacteria_unclassified","k__Bacteria|p__Bacteroidetes","k__Bacteria|p__Firmicutes","k__Bacteria|p__Proteobacteria","k__Bacteria|p__Tenericutes","k__Bacteria|p__Verrucomicrobia","Group"
"ETV364_1",850712,2661106,1329733,2860201,27249766,1530944,1301,803656,"Control CRISPR"
"ETV364_12",1038779,2714841,424365,3126276,32420598,229247,1690,2121271,"Cyp7a1 CRISPR"
"ETV364_15",846562,886260,582046,4874557,25990676,676192,0,3604843,"Control CRISPR"
"ETV364_16",0,1550427,2137583,5112828,30737689,237345,635,1379486,"Cyp7a1 CRISPR"
"ETV364_17",0,290746,1233239,4304203,21634546,460818,0,4433051,"Control CRISPR"
"ETV364_20",0,8656564,807533,4787412,27800710,227761,0,3269440,"Cyp7a1 CRISPR"
"ETV364_21",0,198459,982134,2606222,13689218,277688,0,6249619,"Control CRISPR"
"ETV364_29",0,716411,501232,3543000,21651054,292843,517,5525225,"Control CRISPR"
"ETV364_3",606826,536993,444956,4025449,20502154,368009,0,5726471,"Control CRISPR"
"ETV364_30",364061,1217784,618683,4075528,33138139,375311,6008,833288,"Cyp7a1 CRISPR"
"ETV364_32",2042485,543771,743077,7598200,23299423,309705,11971,1943784,"Cyp7a1 CRISPR"
"ETV364_33",0,588824,641981,6184488,18213917,262251,0,3908321,"Control CRISPR"
"ETV364_35",1318840,1184671,775075,3948046,22525351,252696,120593,1943730,"Control CRISPR"
"ETV364_36",0,1454050,837302,4460232,26411850,169983,0,5088115,"Control CRISPR"
"ETV364_37",0,1613789,471890,2562934,18580743,365122,1324,1164870,"Cyp7a1 CRISPR"
"ETV364_38",0,1356109,686667,8726531,27722763,471114,2124,5143069,"Cyp7a1 CRISPR"
"ETV364_50",1224391,626866,615657,3512415,19961711,279441,9198,843926,"Cyp7a1 CRISPR"
"ETV364_7",347465,2293274,788704,2489870,24577977,314046,600,3577145,"Cyp7a1 CRISPR"
