"","clade_name","ETV364_8","ETV364_7","ETV364_50","ETV364_38","ETV364_37","ETV364_36","ETV364_35","ETV364_33","ETV364_32","ETV364_30","ETV364_3","ETV364_29","ETV364_21","ETV364_20","ETV364_17","ETV364_16","ETV364_15","ETV364_12","ETV364_1"
"1","k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanomethylovorans|s__Methanomethylovorans_SGB40959",0,347465,1224391,0,0,0,1318840,0,2042485,364061,606826,0,0,0,0,0,846562,1038779,850712
"2","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__GGB28818|s__GGB28818_SGB41473",776440,151414,0,1104267,131725,686555,670694,369294,0,0,0,617902,79523,7988952,0,0,376992,0,0
"3","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum",0,1365439,572529,98196,1348220,340322,207665,0,460828,865273,62378,0,69370,260478,0,1367046,92118,2007903,2213202
"4","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__GGB42949|s__GGB42949_SGB43520",9368,0,0,0,0,22094,0,47592,0,0,0,17724,0,271991,0,0,115149,0,0
"5","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB30301|s__GGB30301_SGB43265",8089,8849,3171,12320,4133,4480,10445,13618,13229,19712,11776,9813,22299,18363,22697,6818,37901,11594,63218
"6","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobiaceae_unclassified|s__Atopobiaceae_bacterium_FL090493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308408
"7","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Parvibacter|s__Parvibacter_caecicola",0,0,0,0,0,0,84710,0,0,0,0,0,0,0,0,0,34745,0,0
"8","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_caecimuris",243292,4640,0,0,0,0,0,0,0,0,25476,0,0,0,267576,0,112044,16471,171
"9","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens",0,34930,25094,0,30719,75,1156,0,2339,0,0,0,0,1578,0,83115,0,80227,0
"10","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_mucosicola",53703,200245,26072,141326,98992,211327,210001,158320,45767,171897,465,48050,15765,115202,0,64764,28680,65820,0
"11","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_muris",0,266820,0,0,0,0,0,0,21608,0,286080,0,0,0,0,0,0,0,54413
"12","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified|s__Eggerthellaceae_bacterium",0,96882,0,0,0,0,0,0,0,0,98050,0,0,0,0,0,51203,0,20915
"13","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_sp_P55",88493,164055,0,0,0,189197,0,0,0,160902,52768,22922,11502,0,473,28684,37428,532826,779
"14","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB41508",0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,2188,0,701,0
"15","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB41677",89017,7929,25586,105555,9600,89214,30096,139434,41391,6586,91968,144375,56781,83433,219686,59417,133926,10829,0
"16","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB43541",13064,14514,331,20630,6590,4269,167989,6131,49319,11995,550,7654,0,2214,0,22953,0,33066,10250
"17","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB44461",0,0,0,23047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB63107",0,174,627,1923,0,26,0,0,52,331,0,0,0,0,0,0,0,503,0
"19","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_0_1xD8_82",0,3518,0,0,2210,0,0,0,379,1666,0,0,0,0,0,23237,0,0,0
"20","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_54",12208,2704,1684,9225,0,2960,5636,5885,1949,3299,3498,9519,3763,1403,2078,1684,253,0,0
"21","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_76",52829,31484,12518,78101,11448,36316,44839,51289,16718,16537,22802,41708,23708,46976,42566,16259,17923,16156,11799
"22","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1xD8_48",0,1126,7350,2537,254,151,3368,0,32348,37441,0,0,0,0,0,0,0,1006,0
"23","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28951|s__GGB28951_SGB102295",2711,0,0,0,0,0,0,0,0,0,0,4161,0,0,0,0,0,0,0
"24","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28963|s__GGB28963_SGB41672",417,0,1003,4866,0,2623,45,328,363,1222,6424,595,0,1200,1463,1237,3129,323,0
"25","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB42601|s__GGB42601_SGB59797",79,1042,0,0,0,40,1037,1000,3375,1967,380,1127,1364,0,0,3486,0,1194,711
"26","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854|s__GGB79854_SGB41662",0,942,12057,0,6247,0,4858,0,3435,10024,0,0,0,0,0,46924,0,24051,23735
"27","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854|s__GGB79854_SGB41664",65427,23011,0,117863,0,66475,18145,31792,24444,23574,89144,34516,54577,194967,128325,0,92494,150,31336
"28","k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28888|s__GGB28888_SGB41569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35499,289
"29","k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28889|s__GGB28889_SGB41570",151408,29600,69683,32593,116592,33440,7907,19690,177373,26830,0,22281,304113,9930,181049,402490,0,0,0
"30","k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB20145|s__GGB20145_SGB41586",454775,0,0,73617,0,42200,37192,187905,5764,2652,44123,109659,241382,322433,193838,0,153876,0,0
"31","k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28904|s__GGB28904_SGB41597",246332,468445,313655,114529,101428,460073,314477,196383,291989,212767,144638,111778,268390,73212,450506,1436185,150938,129578,1098480
"32","k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138|g__GGB79948|s__GGB79948_SGB41679",17460,52531,32502,94203,26127,71242,70525,2144,18102,77993,41172,13500,14598,64911,12564,44871,17424,68645,96622
"33","k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313|g__GGB28927|s__GGB28927_SGB41625",0,33314,60173,4146,17870,19962,20460,0,24334,59136,0,0,0,0,0,0,12083,31886,15754
"34","k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28898|s__GGB28898_SGB41580",0,0,30461,0,0,0,0,0,0,0,0,0,0,0,0,5962,0,0,0
"35","k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB79804|s__GGB79804_SGB41650",3186,118370,48027,3832,173524,8126,48501,0,51742,124663,257,359,13458,6854,1164,70690,0,70778,40757
"36","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB28892|s__GGB28892_SGB41573",0,73172,12885,0,46871,0,8032,0,1337804,1010968,0,0,0,44,0,350532,0,991478,0
"37","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp_CU968",3634318,1853236,2628670,4394086,1818201,3713917,3014259,2355595,2507989,2233655,3764365,2188629,1663879,2704387,2910813,2507266,2359054,1504587,2290554
"38","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_muris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB28916|s__GGB28916_SGB41612",0,117406,134593,2653055,353695,0,64977,2958857,2700028,29698,0,0,18417,0,0,1408689,2515503,939,25191
"40","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102|s__GGB24102_SGB40205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38454
"42","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102|s__GGB24102_SGB44768",0,2546,146133,0,83836,0,230358,0,70449,30438,0,0,0,0,0,54869,0,6877,0
"43","k__Bacteria|p__Bacteroidetes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28403|s__GGB28403_SGB40190",0,0,0,0,0,0,0,0,0,0,0,310810,0,0,0,0,0,0,506002
"44","k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB79628|s__GGB79628_SGB35895",845930,443510,590134,1679390,260331,746315,630420,870036,981930,770769,261084,1043561,825328,2082981,1393390,791472,0,622395,0
"45","k__Bacteria|p__Bacteroidetes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB27851|s__GGB27851_SGB40285",0,0,0,0,0,0,0,0,0,0,0,0,98598,0,0,0,0,0,0
"46","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB27929|s__GGB27929_SGB41624",0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373
"47","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus",0,42,0,0,0,0,0,0,0,0,629,0,4533,0,0,694,0,0,0
"48","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis",20974,33324,0,8688,0,3658,46,15360,3573,4743,16461,10868,31114,4917,1791,1244,2978,33722,0
"49","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB30087|s__GGB30087_SGB65084",0,0,20127,0,24279,0,0,0,0,82242,0,0,0,0,0,39645,0,0,0
