clade_name	clade_taxid	ETV364_8_filtered.fastq_profiled_metagenome	ETV364_7_filtered.fastq_profiled_metagenome	ETV364_50_filtered.fastq_profiled_metagenome	ETV364_38_filtered.fastq_profiled_metagenome	ETV364_37_filtered.fastq_profiled_metagenome	ETV364_36_filtered.fastq_profiled_metagenome	ETV364_35_filtered.fastq_profiled_metagenome	ETV364_33_filtered.fastq_profiled_metagenome	ETV364_32_filtered.fastq_profiled_metagenome	ETV364_30_filtered.fastq_profiled_metagenome	ETV364_3_filtered.fastq_profiled_metagenome	ETV364_29_filtered.fastq_profiled_metagenome	ETV364_21_filtered.fastq_profiled_metagenome	ETV364_20_filtered.fastq_profiled_metagenome	ETV364_17_filtered.fastq_profiled_metagenome	ETV364_16_filtered.fastq_profiled_metagenome	ETV364_15_filtered.fastq_profiled_metagenome	ETV364_12_filtered.fastq_profiled_metagenome	ETV364_1_filtered.fastq_profiled_metagenome
k__Archaea	2157	0	347465	1224391	0	0	0	1318840	0	2042485	364061	606826	0	0	0	0	0	846562	1038779	850712
k__Archaea|p__Euryarchaeota	2157|28890	0	347465	1224391	0	0	0	1318840	0	2042485	364061	606826	0	0	0	0	0	846562	1038779	850712
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	0	347465	1224391	0	0	0	1318840	0	2042485	364061	606826	0	0	0	0	0	846562	1038779	850712
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	2157|28890|224756|94695	0	347465	1224391	0	0	0	1318840	0	2042485	364061	606826	0	0	0	0	0	846562	1038779	850712
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	2157|28890|224756|94695|2206	0	347465	1224391	0	0	0	1318840	0	2042485	364061	606826	0	0	0	0	0	846562	1038779	850712
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanomethylovorans	2157|28890|224756|94695|2206|101191	0	347465	1224391	0	0	0	1318840	0	2042485	364061	606826	0	0	0	0	0	846562	1038779	850712
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanomethylovorans|s__Methanomethylovorans_SGB40959	2157|28890|224756|94695|2206|101191|	0	347465	1224391	0	0	0	1318840	0	2042485	364061	606826	0	0	0	0	0	846562	1038779	850712
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanomethylovorans|s__Methanomethylovorans_SGB40959|t__SGB40959	2157|28890|224756|94695|2206|101191||	0	347465	1224391	0	0	0	1318840	0	2042485	364061	606826	0	0	0	0	0	846562	1038779	850712
k__Bacteria	2	30783063	34041616	25849214	44108377	24760672	38421532	30750162	29799782	34449931	40264741	31604032	32230282	24003340	45549420	32356603	41155993	36614574	41038288	36436707
k__Bacteria|p__Actinobacteria	2|201174	1179385	2293274	626866	1356109	1613789	1454050	1184671	588824	543771	1217784	536993	716411	198459	8656564	290746	1550427	886260	2714841	2661106
