#mpa_vOct22_CHOCOPhlAnSGB_202212																			
clade_name	ETV364_1_filtered.fastqd_metagenome	ETV364_12_filtered.fastqd_metagenome	ETV364_15_filtered.fastqd_metagenome	ETV364_16_filtered.fastqd_metagenome	ETV364_17_filtered.fastqd_metagenome	ETV364_20_filtered.fastqd_metagenome	ETV364_21_filtered.fastqd_metagenome	ETV364_29_filtered.fastqd_metagenome	ETV364_3_filtered.fastqd_metagenome	ETV364_30_filtered.fastqd_metagenome	ETV364_32_filtered.fastqd_metagenome	ETV364_33_filtered.fastqd_metagenome	ETV364_35_filtered.fastqd_metagenome	ETV364_36_filtered.fastqd_metagenome	ETV364_37_filtered.fastqd_metagenome	ETV364_38_filtered.fastqd_metagenome	ETV364_50_filtered.fastqd_metagenome	ETV364_7_filtered.fastqd_metagenome	ETV364_8_filtered.fastqd_metagenome
k__Bacteria	96.46138	96.57817	96.32072	100	100	100	100	100	97.05506	98.59175	91.2133	100	93.69499	100	100	100	92.81204	98.55915	100
k__Archaea	3.53862	3.42183	3.67928	0	0	0	0	0	2.94494	1.40825	8.7867	0	6.30501	0	0	0	7.18796	1.44085	0
k__Bacteria|p__Firmicutes	69.64993	75.7359	68.41953	75.67694	62.23881	60.60081	54.65662	63.92874	61.28458	79.86234	61.58841	61.97161	66.98825	67.91368	74.14883	61.76941	69.07985	70.82313	55.58193
k__Bacteria|p__Actinobacteria	10.72725	8.19125	2.68746	5.32669	1.05606	18.61417	0.99711	2.32553	1.89315	4.24629	2.2037	2.02457	4.13387	4.2768	8.88023	3.32029	3.55089	8.23829	4.00043
k__Bacteria|p__Bacteroidetes	7.63305	6.6067	11.36667	11.3718	16.05338	11.66193	11.98358	12.62695	12.30127	10.19889	19.19451	19.16187	12.9141	11.74309	9.55242	19.73451	13.95167	6.79931	15.21834
k__Bacteria|p__Proteobacteria	3.56324	0.5011	1.69975	0.56517	1.47392	0.4867	1.05402	0.88257	1.1299	0.89941	0.81324	0.85907	0.82603	0.41897	1.31357	1.05572	1.04299	0.80087	0.66735
k__Archaea|p__Euryarchaeota	3.53862	3.42183	3.67928	0	0	0	0	0	2.94494	1.40825	8.7867	0	6.30501	0	0	0	7.18796	1.44085	0
k__Bacteria|p__Bacteria_unclassified	2.54675	0.65506	1.1996	3.59403	3.05907	1.25781	3.04314	1.18815	1.02695	1.10986	1.52018	1.61799	1.77834	1.5531	1.3203	1.22418	1.67212	1.52998	2.69064
k__Bacteria|p__Verrucomicrobia	2.33589	4.88274	10.94769	3.46315	16.11876	7.37858	28.26554	19.04557	19.41921	2.25234	5.84314	14.36489	6.49325	14.09435	4.77709	12.88847	3.46196	10.36514	21.84131
k__Bacteria|p__Tenericutes	0.00527	0.00542	0	0.00222	0	0	0	0.00249	0	0.02262	0.05013	0	0.56115	0	0.00756	0.00742	0.05256	0.00242	0
k__Bacteria|p__Firmicutes|c__Clostridia	24.88076	22.05995	28.60674	24.53276	33.10313	24.98712	24.4053	36.97272	27.3727	37.89386	29.18241	26.35187	35.54073	30.22751	24.06778	36.61574	37.51453	21.82875	28.0095
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	24.61558	36.91582	25.20678	37.45428	4.67822	25.17149	15.23617	8.84827	18.95123	16.95535	19.31258	18.42339	15.70365	21.68127	30.36931	10.40935	13.80507	39.69558	10.09533
k__Bacteria|p__Actinobacteria|c__Actinomycetia	9.28873	6.57626	0.79553	4.88072	0.0763	1.38513	0.53799	0.08238	0.33678	3.3646	2.00046	0.1926	1.01565	1.399	7.85328	0.37737	3.34132	5.63222	0.05415
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	5.98138	4.67076	11.36667	8.68679	9.20704	5.30947	6.60238	6.56286	11.10485	7.38363	15.20576	14.84065	10.06825	8.94946	8.10974	14.04745	10.68034	5.06272	11.17705
k__Bacteria|p__Firmicutes|c__CFGB76293	4.57155	5.96397	5.54145	4.97651	7.80944	2.17083	6.40313	4.88407	3.82808	5.88803	6.31065	4.8647	6.76749	2.71351	3.9557	5.19506	7.95376	3.56655	5.92904
k__Bacteria|p__Firmicutes|c__CFGB8152	4.44106	0.23213	0.47229	0.0929	3.80243	0.44027	1.35673	2.62895	0.28739	0.92476	0.59044	0.55688	0.43906	0.76761	1.48427	0	0.72354	0.33681	0.03705
k__Bacteria|p__Firmicutes|c__CFGB28820	3.76089	0	0	3.74189	0	0	0.00445	0	1.19773	4.93315	1.49306	0	1.8665	0	3.55853	0	4.30919	1.65897	0
